"subject" "activity" "tbodyaccmag.mean" "tbodyaccmag.std" "tgravityaccmag.mean" "tgravityaccmag.std" "tbodyaccjerkmag.mean" "tbodyaccjerkmag.std" "tbodygyromag.mean" "tbodygyromag.std" "tbodygyrojerkmag.mean" "tbodygyrojerkmag.std" "fbodyaccmag.mean" "fbodyaccmag.std" "fbodybodyaccjerkmag.mean" "fbodybodyaccjerkmag.std" "fbodybodygyromag.mean" "fbodybodygyromag.std" "fbodybodygyrojerkmag.mean" "fbodybodygyrojerkmag.std"
1 "LAYING" -0.166840713631579 -0.266734167368421 -0.166840713631579 -0.266734167368421 -0.195117026052632 -0.0706029648421053 -0.281207841122807 -0.36560291677193 -0.321290483140351 -0.364708342315789 -0.201386607649123 -0.421683093508772 -0.055401423331579 -0.0964999702982456 -0.329681123368421 -0.510648322631579 -0.366500534122807 -0.408078906482456
1 "SITTING" -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.450804558333333 -0.651172628166667 -0.318587811 -0.320458701 -0.609285588016667 -0.593937200833333 -0.724327420666667 -0.757768081166667
1 "STANDING" -0.158338674394643 -0.377178733392857 -0.158338674394643 -0.377178733392857 -0.288333024071429 -0.282242276785714 -0.355933083571429 -0.492176823571429 -0.444532485357143 -0.48919974625 -0.304992488892857 -0.519636926071429 -0.269481661080357 -0.305685376071429 -0.484262828928571 -0.589741506785714 -0.548053574821429 -0.455665300892857
1 "WALKING" -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474
1 "WALKING_DOWNSTAIRS" -0.254690333275862 -0.328428936551724 -0.254690333275862 -0.328428936551724 -0.280009317413793 -0.139916355325862 -0.466411754137931 -0.561510683275862 -0.566135217931034 -0.567371560862069 -0.290031535172414 -0.456373080862069 -0.186764516965517 -0.0898519904044828 -0.569755772241379 -0.632643292931034 -0.607751646034483 -0.549087007931034
1 "WALKING_UPSTAIRS" -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.324289427932203 -0.577105211694915 -0.169064352813559 -0.164091969449153 -0.530704814745763 -0.651792839661017 -0.583249293389831 -0.558104554745763
1 NA -0.154951918120525 -0.335659203217016 -0.154951918120525 -0.335659203217016 -0.239513576313904 -0.228680107142012 -0.253402631103037 -0.369738362864622 -0.460266055126253 -0.501337618660239 -0.277284982138384 -0.475711308268512 -0.228897931968497 -0.23564306587074 -0.403023097688549 -0.458134691249738 -0.518087666165886 -0.516480082420868
2 "LAYING" 0.0177790974433333 -0.0791508842176471 0.0177790974433333 -0.0791508842176471 -0.207379799254902 -0.169970363039216 -0.12912124415098 -0.199893710196078 -0.342895367921569 -0.440079851313725 -0.0819479396203922 -0.222161433666667 -0.169868234496078 -0.177734840922353 -0.230627015078431 -0.318173892545098 -0.45923633377451 -0.455937719019608
2 "SITTING" -0.153703935357692 -0.212012300480769 -0.153703935357692 -0.212012300480769 -0.400922254807692 -0.437261477884615 -0.299779407884615 -0.510974134423077 -0.686978374423077 -0.755270457692308 -0.276825498230769 -0.301005898461538 -0.397406285 -0.497324087307692 -0.575794072115385 -0.552489628846154 -0.740749226346154 -0.794209483076923
2 "STANDING" 0.0435562021989362 -0.136736383765957 0.0435562021989362 -0.136736383765957 -0.247403476914894 -0.310186545957447 -0.235516929306383 -0.354687870212766 -0.47348816787234 -0.557988065531915 -0.169261525 -0.254091927148936 -0.264674938957447 -0.378616675957447 -0.392564530851064 -0.440445051914894 -0.571344138723404 -0.572485019787234
